,0
514,2
515,0
516,2
517,4
518,0
519,0
520,3
521,0
522,0
523,1
524,2
525,2
526,6
527,1
528,6
529,0
530,2
531,2
532,0
533,2
534,3
535,1
536,1
537,6
538,4
539,4
540,5
541,4
542,0
543,0
544,6
545,1
546,5
547,6
548,2
549,6
550,2
551,1
552,2
553,2
554,1
555,5
556,6
557,0
558,1
559,0
560,2
561,6
562,0
563,1
564,2
565,2
566,1
567,5
568,4
569,2
570,6
571,2
572,4
573,0
574,2
575,4
576,2
577,0
578,0
579,6
580,3
581,0
582,3
583,6
584,4
585,2
586,0
587,3
588,0
589,5
590,4
591,0
592,4
593,4
594,3
595,5
596,1
597,6
598,0
599,2
600,3
601,4
602,6
603,0
604,2
605,2
606,0
607,0
608,1
609,1
610,3
611,4
612,2
613,3
614,5
615,1
616,2
617,5
618,5
619,6
620,5
621,4
622,0
623,1
624,1
625,6
626,6
627,1
628,2
629,1
630,2
631,0
632,1
633,2
634,2
635,4
636,1
637,1
638,0
639,0
640,2
641,0
642,2
643,2
644,0
645,1
646,2
647,6
648,0
649,2
650,0
651,3
652,1
653,6
654,5
655,3
656,2
657,6
658,2
659,2
660,0
661,4
662,0
663,4
664,1
665,6
666,0
667,6
668,1
669,1
670,5
671,0
672,1
673,1
674,0
675,2
676,2
677,4
678,1
679,2
680,4
681,2
682,0
683,2
684,4
685,2
686,2
687,2
688,1
689,4
690,0
691,5
692,3
693,5
694,1
695,0
696,3
697,0
698,2
699,2
700,6
701,1
702,0
703,0
704,5
705,3
706,1
707,1
708,0
709,2
710,1
711,0
712,4
713,1
714,5
715,1
716,2
717,6
718,4
719,5
720,4
721,3
722,4
723,0
724,6
725,6
726,5
727,2
728,5
729,2
730,1
731,2
732,6
733,3
734,2
735,0
736,0
737,3
738,1
739,3
740,2
741,2
742,3
743,2
744,1
745,0
746,4
747,2
748,5
749,1
750,0
751,0
752,0
753,2
754,6
755,0
756,0
757,2
758,0
759,1
760,0
761,0
762,3
763,0
764,1
765,2
766,2
767,0
768,1
769,3
770,6
771,6
772,1
773,1
774,6
775,6
776,6
777,2
778,2
779,3
780,2
781,0
782,1
783,0
784,2
785,0
786,1
787,6
788,6
789,6
790,1
791,0
792,2
793,2
794,5
795,5
796,6
797,5
798,1
799,2
800,0
801,2
802,6
803,2
804,0
805,3
806,0
807,0
808,1
809,1
810,1
811,1
812,0
813,2
814,1
815,2
816,4
817,5
818,0
819,0
820,2
821,3
822,0
823,2
824,2
825,0
826,0
827,5
828,6
829,2
830,5
831,1
832,0
833,6
834,6
835,5
836,0
837,1
838,2
839,2
840,1
841,6
842,2
843,0
844,0
845,0
846,0
847,2
848,2
849,1
850,0
851,1
852,6
853,4
854,3
855,2
856,5
857,0
858,6
859,1
860,2
861,6
862,2
863,0
864,4
865,2
866,5
867,0
868,2
869,0
870,0
871,3
872,1
873,5
874,0
875,6
876,1
877,6
878,0
879,0
880,0
881,1
882,2
883,0
884,0
885,4
886,0
887,0
888,0
889,1
890,6
891,2
892,2
893,2
894,2
895,1
896,0
897,1
898,0
899,0
900,2
901,0
902,1
903,2
904,0
905,0
906,4
907,2
908,0
909,1
910,2
911,4
912,6
913,5
914,4
915,0
916,2
917,2
918,0
919,6
920,1
921,1
922,2
923,0
924,2
925,3
926,4
927,6
928,6
929,2
930,2
931,0
932,6
933,6
934,2
935,1
936,1
937,2
938,2
939,1
940,1
941,2
942,2
943,6
944,0
945,6
946,2
947,6
948,5
949,2
950,0
951,1
952,1
953,4
954,2
955,4
956,6
957,1
958,2
959,1
960,0
961,3
962,3
963,6
964,3
965,2
966,6
967,1
968,2
969,6
970,0
971,0
972,4
973,2
974,6
975,6
976,2
977,2
978,1
979,1
980,2
981,2
982,1
983,0
984,2
985,1
986,1
987,2
988,2
989,1
990,5
991,4
992,1
993,2
994,2
995,4
996,0
997,0
998,0
999,2
1000,1
1001,1
1002,6
1003,6
1004,0
1005,6
1006,1
1007,6
1008,2
1009,0
1010,1
1011,0
1012,2
1013,5
1014,1
1015,1
1016,6
1017,1
1018,1
1019,2
1020,2
1021,0
1022,6
1023,6
1024,6
1025,5
1026,5
1027,0
1028,0
1029,2
1030,1
1031,4
1032,1
1033,2
1034,6
1035,1
1036,3
1037,1
1038,3
1039,1
1040,3
1041,2
1042,5
1043,0
1044,3
1045,0
1046,6
1047,1
1048,1
1049,1
1050,2
1051,4
1052,2
1053,2
1054,0
1055,1
1056,0
1057,1
1058,1
1059,1
1060,5
1061,1
1062,2
1063,0
1064,2
1065,0
1066,2
1067,2
1068,6
1069,1
1070,1
1071,1
1072,2
1073,5
1074,3
1075,2
1076,2
1077,6
1078,2
1079,6
1080,5
1081,0
1082,6
1083,0
1084,5
1085,5
1086,4
1087,1
1088,2
1089,2
1090,2
1091,0
1092,5
1093,3
1094,2
1095,2
1096,1
1097,2
1098,4
1099,1
1100,0
1101,1
1102,2
1103,1
1104,5
1105,2
1106,6
1107,2
1108,1
1109,0
1110,6
1111,2
1112,6
1113,2
1114,1
1115,5
1116,2
1117,2
1118,0
1119,3
1120,0
1121,6
1122,1
1123,6
1124,4
1125,0
1126,6
1127,2
1128,1
1129,2
1130,0
1131,4
1132,1
1133,1
1134,2
1135,2
1136,1
1137,3
1138,0
1139,4
1140,5
1141,1
1142,2
1143,1
1144,1
1145,1
1146,0
1147,6
1148,3
1149,0
1150,2
1151,5
1152,5
1153,2
1154,5
1155,2
1156,0
1157,5
1158,5
1159,1
1160,1
1161,2
1162,6
1163,2
1164,1
1165,0
1166,0
1167,0
1168,6
1169,1
1170,2
1171,6
1172,6
1173,0
1174,1
1175,6
1176,1
1177,3
1178,1
1179,6
1180,0
1181,4
1182,0
1183,4
1184,2
1185,6
1186,6
1187,2
1188,6
1189,6
1190,0
1191,5
1192,0
1193,0
1194,2
1195,0
1196,1
1197,0
1198,2
1199,1
1200,4
1201,2
1202,2
1203,0
1204,1
1205,1
1206,2
1207,1
1208,0
1209,0
1210,6
1211,2
1212,2
1213,3
1214,0
1215,1
1216,6
1217,1
1218,0
1219,0
1220,4
1221,6
1222,1
1223,1
1224,6
1225,1
1226,3
1227,6
1228,5
1229,5
1230,2
1231,1
1232,3
1233,2
1234,6
1235,2
1236,2
1237,2
1238,6
1239,2
1240,6
1241,4
1242,2
1243,0
1244,0
1245,1
1246,2
1247,3
1248,0
1249,4
1250,6
1251,2
1252,6
1253,5
1254,4
1255,0
1256,6
1257,3
1258,1
1259,2
1260,0
1261,0
1262,1
1263,6
1264,3
1265,1
1266,1
1267,6
1268,1
1269,6
1270,0
1271,2
1272,6
1273,5
1274,2
1275,6
1276,6
1277,2
1278,1
1279,0
1280,2
1281,2
1282,1
1283,2
1284,0
1285,3
1286,0
1287,2
1288,2
1289,1
1290,1
1291,0
1292,1
1293,5
1294,1
1295,5
1296,6
1297,2
1298,0
1299,0
1300,1
1301,6
1302,2
1303,0
1304,6
1305,1
1306,6
1307,0
1308,1
1309,0
1310,2
1311,1
1312,4
1313,2
1314,1
1315,2
1316,1
1317,2
1318,1
1319,1
1320,0
1321,1
1322,2
1323,5
1324,1
1325,2
1326,0
1327,2
1328,2
1329,1
1330,2
1331,4
1332,6
1333,1
1334,0
1335,2
1336,2
1337,5
1338,2
1339,0
1340,6
1341,0
1342,6
1343,1
1344,6
1345,1
1346,2
1347,2
1348,6
1349,2
1350,2
1351,2
1352,0
1353,2
1354,2
1355,1
1356,3
1357,5
1358,2
1359,1
1360,3
1361,0
1362,6
1363,0
1364,3
1365,6
1366,2
1367,1
1368,6
1369,2
1370,3
1371,0
1372,0
1373,2
1374,5
1375,3
1376,2
1377,5
1378,0
1379,0
1380,1
1381,5
1382,0
1383,2
1384,2
1385,6
1386,2
1387,2
1388,2
1389,0
1390,2
1391,5
1392,6
1393,6
1394,2
1395,0
1396,6
1397,6
1398,0
1399,2
1400,0
1401,1
1402,1
1403,1
1404,0
1405,4
1406,0
1407,1
1408,4
1409,6
1410,4
1411,2
1412,0
1413,3
1414,5
1415,2
1416,6
1417,1
1418,2
1419,2
1420,1
1421,1
1422,4
1423,6
1424,4
1425,0
1426,3
1427,2
1428,3
1429,6
1430,0
1431,0
1432,2
1433,4
1434,6
1435,2
1436,2
1437,4
1438,1
1439,6
1440,0
1441,2
1442,0
1443,0
1444,1
1445,2
1446,1
1447,0
1448,0
1449,2
1450,0
1451,6
1452,6
1453,6
1454,0
1455,6
1456,4
1457,1
1458,1
1459,2
1460,1
1461,1
1462,2
1463,5
1464,0
1465,5
1466,2
1467,6
1468,0
1469,0
1470,1
1471,5
1472,2
1473,1
1474,3
1475,0
1476,0
1477,0
1478,0
1479,6
1480,3
1481,0
1482,1
1483,0
1484,1
1485,1
1486,6
1487,0
1488,1
1489,5
1490,5
1491,3
1492,2
1493,2
1494,2
1495,0
1496,2
1497,3
1498,2
1499,2
1500,0
1501,0
1502,4
1503,1
1504,5
1505,2
1506,1
1507,0
1508,1
1509,0
1510,1
1511,1
1512,6
1513,2
1514,6
1515,1
1516,5
1517,1
1518,3
1519,3
1520,1
1521,2
1522,0
1523,1
1524,2
1525,2
1526,4
1527,1
1528,0
1529,3
1530,3
1531,5
1532,2
1533,4
1534,2
1535,3
1536,0
1537,2
1538,5
1539,5
1540,2
1541,1
1542,0
1543,0
1544,0
1545,1
1546,1
1547,5
1548,1
1549,0
1550,2
1551,0
1552,4
1553,2
1554,2
1555,3
1556,0
1557,1
1558,0
1559,2
1560,2
1561,6
1562,6
1563,1
1564,4
1565,0
1566,2
1567,0
1568,2
1569,2
1570,6
1571,0
1572,0
1573,0
1574,2
1575,5
1576,6
1577,0
1578,2
1579,5
1580,4
1581,0
1582,0
1583,4
1584,4
1585,0
1586,5
1587,6
1588,3
1589,1
1590,1
1591,0
1592,6
1593,5
1594,0
1595,1
1596,3
1597,0
1598,1
1599,3
1600,1
1601,6
1602,4
1603,3
1604,5
1605,2
1606,5
1607,2
1608,2
1609,6
1610,1
1611,3
1612,4
1613,1
1614,5
1615,5
1616,6
1617,0
1618,2
1619,3
1620,0
1621,6
1622,1
1623,2
1624,6
1625,2
1626,2
1627,5
1628,1
1629,1
1630,2
1631,2
1632,2
1633,3
1634,0
1635,4
1636,2
1637,2
1638,2
1639,2
1640,2
1641,0
1642,0
1643,5
1644,5
1645,4
1646,6
1647,4
1648,4
1649,3
1650,1
1651,0
1652,0
1653,6
1654,0
1655,6
1656,6
1657,6
1658,2
1659,4
1660,2
1661,1
1662,1
1663,6
1664,1
1665,1
1666,0
1667,6
1668,2
1669,0
1670,4
1671,2
1672,2
1673,3
1674,0
1675,1
1676,5
1677,6
1678,0
1679,2
1680,4
1681,5
1682,6
1683,6
1684,0
1685,2
1686,0
1687,6
1688,0
1689,1
1690,4
1691,4
1692,5
1693,0
1694,5
1695,2
1696,2
1697,2
1698,3
1699,1
1700,0
1701,1
1702,2
1703,1
1704,5
1705,2
1706,1
1707,6
1708,2
1709,2
1710,2
1711,2
1712,6
1713,2
1714,6
1715,1
1716,2
1717,2
1718,3
1719,4
1720,0
1721,2
1722,0
1723,0
1724,2
1725,3
1726,2
1727,3
1728,6
1729,1
1730,0
1731,3
1732,3
1733,0
1734,6
1735,1
1736,2
1737,6
1738,6
1739,0
1740,0
1741,6
1742,1
1743,2
1744,2
1745,6
1746,4
1747,1
1748,2
1749,0
1750,2
1751,1
1752,2
1753,1
1754,1
1755,2
1756,6
1757,6
1758,6
1759,2
1760,6
1761,2
1762,6
1763,3
1764,2
1765,2
1766,5
1767,5
1768,6
1769,2
1770,1
1771,1
1772,3
1773,2
1774,1
1775,4
1776,1
1777,0
1778,0
1779,0
1780,1
1781,2
1782,5
1783,1
1784,2
1785,0
1786,4
1787,3
1788,1
1789,1
1790,2
1791,2
1792,4
1793,6
1794,2
1795,2
1796,0
1797,1
1798,1
1799,6
1800,1
1801,0
1802,2
1803,0
1804,6
1805,5
1806,1
1807,2
1808,2
1809,0
1810,2
1811,4
1812,2
1813,4
1814,0
1815,2
1816,5
1817,6
1818,1
1819,3
1820,0
1821,2
1822,0
1823,1
1824,6
1825,2
1826,4
1827,2
1828,4
1829,0
1830,6
1831,4
1832,1
1833,2
1834,0
1835,1
1836,4
1837,3
1838,3
1839,1
1840,0
1841,6
1842,1
1843,4
1844,6
1845,1
1846,3
1847,6
1848,5
1849,1
1850,1
1851,6
1852,3
1853,1
1854,0
1855,6
1856,5
1857,4
1858,2
1859,0
1860,2
1861,0
1862,0
1863,6
1864,1
1865,5
1866,6
1867,1
1868,2
1869,3
1870,1
1871,6
1872,2
1873,1
1874,0
1875,6
1876,1
1877,2
1878,4
1879,5
1880,4
1881,0
1882,2
1883,5
1884,1
1885,2
1886,5
1887,6
1888,5
1889,2
1890,0
1891,1
1892,2
1893,6
1894,5
1895,4
1896,2
1897,0
1898,0
1899,1
1900,2
1901,6
1902,0
1903,2
1904,1
1905,4
1906,4
1907,3
1908,6
1909,0
1910,2
1911,3
1912,6
1913,2
1914,5
1915,3
1916,0
1917,1
1918,4
1919,2
1920,4
1921,0
1922,1
1923,1
1924,0
1925,0
1926,5
1927,0
1928,0
1929,4
1930,3
1931,2
1932,2
1933,1
1934,1
1935,3
1936,0
1937,0
1938,2
1939,2
1940,3
1941,2
1942,0
1943,2
1944,2
1945,2
1946,3
1947,6
1948,1
1949,1
1950,2
1951,2
1952,1
1953,2
1954,0
1955,0
1956,1
1957,4
1958,2
1959,2
1960,4
1961,3
1962,4
1963,1
1964,1
1965,0
1966,4
1967,0
1968,6
1969,2
1970,1
1971,0
1972,4
1973,2
1974,2
1975,0
1976,1
1977,1
1978,2
1979,4
1980,0
1981,2
1982,5
1983,0
1984,1
1985,5
1986,2
1987,2
1988,0
1989,1
1990,0
1991,6
1992,1
1993,2
1994,0
1995,0
1996,5
1997,6
1998,0
1999,1
2000,1
2001,4
2002,0
2003,3
2004,4
2005,0
2006,1
2007,1
2008,4
2009,0
2010,0
2011,1
2012,2
2013,6
2014,4
2015,0
2016,3
2017,1
2018,2
2019,2
2020,2
2021,2
2022,2
2023,0
2024,2
2025,5
2026,1
2027,5
2028,0
2029,1
2030,5
2031,6
2032,0
2033,0
2034,2
2035,5
2036,6
2037,1
2038,5
2039,2
2040,6
2041,3
2042,4
2043,2
2044,5
2045,1
2046,6
2047,0
2048,0
2049,2
2050,6
2051,6
2052,6
2053,1
2054,6
2055,2
2056,3
2057,3
2058,0
2059,5
2060,5
2061,0
2062,4
2063,3
2064,2
2065,0
2066,4
2067,0
2068,2
2069,0
2070,6
2071,0
2072,5
2073,0
2074,2
2075,0
2076,5
2077,0
2078,0
2079,4
2080,5
2081,1
2082,2
2083,2
2084,0
2085,0
2086,0
2087,0
2088,3
2089,2
2090,0
2091,1
2092,2
2093,2
2094,1
2095,2
2096,2
2097,2
2098,0
2099,6
2100,2
2101,6
2102,0
2103,5
2104,0
2105,2
2106,0
2107,6
2108,4
2109,2
2110,5
2111,4
2112,1
2113,0
2114,3
2115,6
2116,1
2117,2
2118,0
2119,0
2120,6
2121,1
2122,2
2123,0
2124,1
2125,5
2126,6
2127,2
2128,2
2129,1
2130,2
2131,0
2132,0
2133,2
2134,0
2135,1
2136,1
2137,0
2138,0
2139,0
2140,2
2141,2
2142,2
2143,2
2144,0
2145,4
2146,5
2147,1
2148,4
2149,2
2150,1
2151,1
2152,3
2153,0
2154,0
2155,6
2156,4
2157,6
2158,6
2159,2
2160,4
2161,1
2162,2
2163,3
2164,0
2165,2
2166,6
2167,5
2168,6
2169,2
2170,2
2171,1
2172,4
2173,1
2174,6
2175,2
2176,1
2177,6
2178,1
2179,6
2180,0
2181,0
2182,1
2183,2
2184,2
2185,2
2186,2
2187,0
2188,6
2189,2
2190,2
2191,2
2192,6
2193,2
2194,0
2195,2
2196,0
2197,2
2198,0
2199,3
2200,2
2201,0
2202,6
2203,3
2204,0
2205,6
2206,3
2207,6
2208,1
2209,4
2210,1
2211,2
2212,0
2213,2
2214,1
2215,6
2216,0
2217,3
2218,0
2219,6
2220,0
2221,2
2222,0
2223,1
2224,5
2225,3
2226,5
2227,2
2228,6
2229,1
2230,1
2231,2
2232,6
2233,3
2234,1
2235,3
2236,2
2237,1
2238,5
2239,1
2240,1
2241,0
2242,6
2243,6
2244,4
2245,1
2246,0
2247,0
2248,0
2249,1
2250,2
2251,0
2252,0
2253,0
2254,0
2255,0
2256,6
2257,2
2258,6
2259,3
2260,0
2261,0
2262,4
2263,2
2264,5
2265,6
2266,1
2267,5
2268,2
2269,2
2270,5
2271,4
2272,4
2273,2
2274,3
2275,2
2276,1
2277,4
2278,6
2279,2
2280,1
2281,2
2282,1
2283,4
2284,0
2285,0
2286,4
2287,2
2288,1
2289,2
2290,5
2291,4
2292,1
2293,3
2294,2
2295,5
2296,2
2297,3
2298,2
2299,0
2300,4
2301,0
2302,0
2303,3
2304,0
2305,0
2306,1
2307,0
2308,2
2309,4
2310,2
2311,2
2312,2
2313,0
2314,4
2315,2
2316,0
2317,4
2318,2
2319,5
2320,2
2321,1
2322,6
2323,2
2324,1
2325,4
2326,2
2327,2
2328,2
2329,5
2330,3
2331,1
2332,6
2333,6
2334,2
2335,4
2336,0
2337,6
2338,2
2339,2
2340,2
2341,3
2342,2
2343,6
2344,6
2345,0
2346,1
2347,4
2348,1
2349,3
2350,1
2351,1
2352,6
2353,6
2354,6
2355,2
2356,4
2357,6
2358,2
2359,2
2360,1
2361,4
2362,5
2363,1
2364,1
2365,0
2366,2
2367,6
2368,5
2369,0
2370,0
2371,2
2372,1
2373,6
2374,6
2375,4
2376,1
2377,4
2378,0
2379,1
2380,6
2381,0
2382,2
2383,6
2384,0
2385,3
2386,2
2387,1
2388,0
2389,0
2390,2
2391,0
2392,1
2393,2
2394,4
2395,2
2396,6
2397,1
2398,0
2399,3
2400,0
2401,4
2402,0
2403,3
2404,3
2405,0
2406,2
2407,1
2408,3
2409,2
2410,2
2411,2
2412,6
2413,6
2414,6
2415,0
2416,5
2417,2
2418,1
2419,0
2420,4
2421,0
2422,1
2423,0
2424,6
2425,2
2426,0
2427,6
2428,2
2429,2
2430,2
2431,0
2432,0
2433,1
2434,0
2435,0
2436,5
2437,1
2438,3
2439,1
2440,0
2441,0
2442,6
2443,4
2444,1
2445,1
2446,1
2447,0
2448,5
2449,2
2450,2
2451,6
2452,1
2453,3
2454,0
2455,0
2456,2
2457,2
2458,3
2459,4
2460,3
2461,6
2462,4
2463,6
2464,0
2465,5
2466,0
2467,1
2468,6
2469,4
2470,1
2471,4
2472,2
2473,3
2474,2
2475,2
2476,1
2477,6
2478,1
2479,2
2480,0
2481,0
2482,1
2483,4
2484,2
2485,6
2486,6
2487,6
2488,0
2489,2
2490,3
2491,2
2492,4
2493,0
2494,3
2495,2
2496,1
2497,5
2498,2
2499,6
2500,6
2501,6
2502,1
2503,2
2504,4
2505,2
2506,5
2507,6
2508,2
2509,1
2510,4
2511,0
2512,1
2513,2
2514,0
2515,1
2516,5
2517,0
2518,0
2519,3
2520,6
2521,4
2522,0
2523,3
2524,2
2525,3
2526,1
2527,0
2528,2
2529,1
2530,2
2531,3
2532,1
2533,6
2534,0
2535,2
2536,1
2537,4
2538,5
2539,0
2540,3
2541,0
2542,2
2543,1
2544,0
2545,1
2546,6
2547,0
2548,6
2549,2
2550,2
2551,0
2552,5
2553,0
2554,6
2555,6
2556,2
2557,0
2558,1
2559,0
2560,0
2561,6
2562,2
2563,6
2564,0
2565,2
2566,3
2567,6
2568,3
2569,3
2570,1
2571,4
2572,2
2573,2
2574,5
2575,4
2576,2
2577,6
2578,2
2579,5
2580,2
2581,6
2582,2
2583,4
2584,2
2585,4
2586,6
2587,6
2588,6
2589,6
2590,0
2591,6
2592,2
2593,1
2594,0
2595,0
2596,0
2597,5
2598,1
2599,0
2600,5
2601,2
2602,2
2603,5
2604,5
2605,2
2606,5
2607,2
2608,0
2609,0
2610,2
2611,6
2612,1
2613,2
2614,2
2615,2
2616,2
2617,1
2618,0
2619,3
2620,1
2621,6
2622,0
2623,4
2624,6
2625,0
2626,2
2627,1
2628,3
2629,1
2630,2
2631,0
2632,0
2633,2
2634,4
2635,0
2636,1
2637,4
2638,1
2639,0
2640,1
2641,0
2642,4
2643,4
2644,3
2645,2
2646,1
2647,6
2648,6
2649,2
2650,3
2651,1
2652,2
2653,5
2654,2
2655,0
2656,6
2657,2
2658,0
2659,5
2660,1
2661,3
2662,1
2663,2
2664,2
2665,4
2666,4
2667,2
2668,6
2669,0
2670,0
2671,2
2672,1
2673,3
2674,2
2675,1
2676,0
2677,2
2678,3
2679,6
2680,1
2681,4
2682,6
2683,2
2684,6
2685,0
2686,0
2687,2
2688,1
2689,0
2690,1
2691,1
2692,4
2693,0
2694,1
2695,0
2696,2
2697,3
2698,1
2699,5
2700,1
2701,0
2702,4
2703,0
2704,0
2705,3
2706,4
2707,0
2708,0
2709,2
2710,1
2711,1
2712,0
2713,6
2714,0
2715,0
2716,2
2717,3
2718,6
2719,2
2720,6
2721,1
2722,0
2723,6
2724,1
2725,1
2726,4
2727,6
2728,4
2729,2
2730,2
2731,2
2732,6
2733,1
2734,0
2735,2
2736,3
2737,0
2738,0
2739,1
2740,0
2741,4
2742,0
2743,0
2744,1
2745,0
2746,4
2747,0
2748,2
2749,2
2750,0
2751,6
2752,2
2753,2
2754,6
2755,1
2756,0
2757,2
2758,4
2759,0
2760,4
2761,0
2762,3
2763,4
2764,6
2765,0
2766,0
2767,2
2768,3
2769,2
2770,1
2771,6
2772,2
2773,5
2774,0
2775,0
2776,2
2777,2
2778,0
2779,1
2780,0
2781,3
2782,5
2783,2
2784,6
2785,2
2786,2
2787,0
2788,6
2789,4
2790,6
2791,2
2792,2
2793,4
2794,6
2795,1
2796,0
2797,0
2798,1
2799,1
2800,5
2801,0
2802,6
2803,2
2804,5
2805,0
2806,1
2807,4
2808,2
2809,6
2810,1
2811,0
2812,1
2813,0
2814,0
2815,0
2816,2
2817,5
2818,0
2819,6
2820,6
2821,5
2822,0
2823,1
2824,2
2825,2
2826,1
2827,2
2828,2
2829,0
2830,3
2831,0
2832,3
2833,2
2834,3
2835,1
2836,2
2837,0
2838,2
2839,2
2840,0
2841,2
2842,1
2843,4
2844,2
2845,6
2846,0
2847,5
2848,0
2849,4
2850,4
2851,1
2852,0
2853,6
2854,6
2855,6
2856,1
2857,2
2858,2
2859,0
2860,2
2861,1
2862,6
2863,0
2864,4
2865,1
2866,2
2867,2
2868,2
2869,1
2870,2
2871,1
2872,0
2873,5
2874,2
2875,6
2876,4
2877,2
2878,2
2879,1
2880,2
2881,6
2882,2
2883,5
2884,0
2885,6
2886,2
2887,2
2888,2
2889,6
2890,1
2891,6
2892,2
2893,0
2894,0
2895,1
2896,2
2897,2
2898,2
2899,2
2900,6
2901,1
2902,3
2903,2
2904,3
2905,6
2906,1
2907,6
2908,1
2909,4
2910,2
2911,1
2912,6
2913,0
2914,0
2915,2
2916,4
2917,2
2918,2
2919,1
2920,2
2921,6
2922,3
2923,2
2924,0
2925,2
2926,4
2927,1
2928,1
2929,6
2930,4
2931,2
2932,2
2933,2
2934,5
2935,0
2936,2
2937,4
2938,2
2939,0
2940,2
2941,1
2942,1
2943,1
2944,5
2945,6
2946,6
2947,1
2948,0
2949,2
2950,2
2951,0
2952,2
2953,2
2954,0
2955,4
2956,0
2957,4
2958,2
2959,2
2960,3
2961,0
2962,0
2963,6
2964,2
2965,3
2966,3
2967,6
2968,6
2969,0
2970,6
2971,1
2972,1
2973,3
2974,2
2975,1
2976,6
2977,1
2978,0
2979,0
2980,6
2981,0
2982,1
2983,2
2984,1
2985,6
2986,2
2987,0
2988,0
2989,0
2990,0
2991,6
2992,0
2993,4
2994,1
2995,5
2996,1
2997,0
